구분,한경1호기(kWh),한경2호기(kWh),한경3호기(kWh),한경5호기(kWh),한경6호기(kWh),한경7호기(kWh),한경8호기(kWh),한경9호기(kWh)
2018-01-01,16001,17281,15139,0,24508,5872,4592,28460
2018-01-02,8173,6611,9935,0,21904,19780,12032,11704
2018-01-03,21213,33000,29205,0,54872,51956,35248,60116
2018-01-04,20925,21889,18492,0,35036,33488,0,37224
2018-01-05,24439,25177,23986,0,41256,39212,0,44996
2018-01-06,20871,22361,17747,0,35336,31684,0,40044
2018-01-07,2865,2032,3543,0,8936,8924,1840,4896
2018-01-08,21348,20479,19329,0,38536,37120,36544,41024
2018-01-09,34496,34433,33079,0,65808,65480,61880,65720
2018-01-10,28517,31498,33281,0,70984,71000,67616,71024
2018-01-11,11989,25387,30883,0,52428,49408,60208,63848
2018-01-12,6061,29150,27532,0,49452,49920,45416,52432
2018-01-13,7184,7372,5935,0,11156,10392,10104,12400
2018-01-14,4391,4485,5133,0,8240,7984,8944,8960
2018-01-15,5325,6516,6110,0,10204,8516,10120,11096
2018-01-16,9007,5131,10438,0,21844,18328,20832,23960
2018-01-17,15220,2278,14005,0,23852,26492,26960,28488
2018-01-18,2626,11817,8088,0,16116,12340,16472,19680
2018-01-19,5016,16047,3734,0,23272,21136,22720,24712
2018-01-20,10068,14796,13991,0,25864,22272,25960,18080
2018-01-21,4920,6487,5971,0,12456,10264,11720,9296
2018-01-22,12959,12606,12104,0,23436,23840,19472,23224
2018-01-23,32377,33592,29940,0,56392,53556,55520,61288
2018-01-24,30803,32821,27843,0,54668,50148,50384,58128
2018-01-25,34485,35056,30895,0,64836,60332,61408,66568
2018-01-26,34861,36413,35773,0,71508,44800,3848,71816
2018-01-27,16366,18423,16471,0,23924,28812,0,29256
2018-01-28,24943,25771,22715,0,44408,42056,19320,47504
2018-01-29,35379,35577,35143,0,63628,65756,41904,67672
2018-01-30,11752,16714,15571,0,24832,14888,23544,27832
2018-01-31,3074,7248,5164,0,11380,8768,9984,13488
2018-02-01,19259,21268,16453,0,32364,21832,28272,36152
2018-02-02,25328,27253,20313,0,40436,34392,36520,47376
2018-02-03,34251,28129,34288,0,65936,66324,20312,66768
2018-02-04,35735,12715,20583,0,70012,52140,0,70656
2018-02-05,34358,34660,33962,0,63692,62928,8536,56992
2018-02-06,33352,33730,33094,0,59496,61116,54168,39760
2018-02-07,7731,7752,7403,0,12532,12396,10680,13856
2018-02-08,136,261,214,0,592,892,1160,1048
2018-02-09,1602,1785,2567,0,3692,4372,4824,5888
2018-02-10,22488,22996,0,0,41644,38980,40064,33384
2018-02-11,18845,30068,0,0,54852,56564,53080,45792
2018-02-12,23999,34409,17278,0,66432,66496,63200,35336
2018-02-13,17220,17450,18341,0,30368,33648,30808,34608
2018-02-14,18070,22007,23642,0,27432,36964,38808,42296
2018-02-15,21453,23016,19136,0,35868,35020,34304,36976
2018-02-16,13178,15723,13456,0,25384,21072,27632,26784
2018-02-17,28086,30836,27955,0,54432,39656,53904,55792
2018-02-18,28,4183,5722,0,11664,416,10168,9248
2018-02-19,1811,6424,6907,0,17132,11452,13512,10376
2018-02-20,8939,12403,10117,0,19620,5144,17336,17832
2018-02-21,27936,29828,25835,0,47956,0,43016,51000
2018-02-22,15485,17456,15284,0,29384,272,27688,29032
2018-02-23,2586,2918,2565,0,5508,5144,2704,6424
2018-02-24,737,782,1611,0,4556,3608,4072,3432
2018-02-25,7745,9315,6065,0,13320,10056,12712,15360
2018-02-26,5116,5893,4491,0,9260,8776,8528,9256
2018-02-27,2070,1696,1291,0,5388,3788,4680,4360
2018-02-28,23573,22727,21167,0,9684,39976,42064,26280
2018-03-01,25435,25560,23919,0,49788,47992,49088,0
2018-03-02,9896,10722,8189,0,17088,15380,15728,0
2018-03-03,9258,9096,9022,0,16872,16400,16952,1632
2018-03-04,21473,20939,22057,0,41056,33960,41032,0
2018-03-05,21427,23501,7037,0,42328,40736,36040,10624
2018-03-06,18107,20762,22790,0,46444,40984,39464,34144
2018-03-07,12091,11617,11428,0,26684,23988,20384,19616
2018-03-08,25398,36409,36269,0,71780,71776,71576,71936
2018-03-09,14960,16387,12137,0,23600,19992,23424,28384
2018-03-10,223,184,214,0,1360,1516,984,1552
2018-03-11,720,841,407,0,2304,1664,2096,2296
2018-03-12,4982,2780,5353,0,11256,7872,9984,10760
2018-03-13,13112,8339,14725,0,26160,14784,25192,29224
2018-03-14,20283,18859,19889,0,38316,24920,35624,38216
2018-03-15,17688,15898,19220,0,33348,33860,35264,40384
2018-03-16,21897,22012,16275,0,44420,39024,38776,40656
2018-03-17,8224,8948,7490,0,19088,16820,15560,13184
2018-03-18,19116,19251,18401,0,36832,30344,35968,35912
2018-03-19,5100,4733,3404,0,10604,9016,7232,11360
2018-03-20,27185,20549,22322,0,56640,39748,40128,37208
2018-03-21,27968,28020,24013,0,51872,27520,47688,52416
2018-03-22,19956,21141,13368,0,32604,30632,32032,37608
2018-03-23,127,193,84,0,1108,1148,944,1720
2018-03-24,29,0,0,0,468,252,280,384
2018-03-25,0,0,0,0,0,0,0,0
2018-03-26,0,0,0,0,0,0,0,8
2018-03-27,0,112,0,0,408,484,416,552
2018-03-28,3383,2365,2115,0,7344,6076,3336,7856
2018-03-29,1140,575,1278,0,2796,1920,2400,2584
2018-03-30,218,297,221,0,676,752,560,760
2018-03-31,1098,1186,1141,0,2408,1632,2376,2800
